"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
37371,"HHU781SF1_HHTotalIndividual","Individuals with basic ICT skills in safety",,"%",18,"SAU","Saudi Arabia","15.4510228359193",2024,"Results are based on unweighted survey data using quota sampling","Communications, Space and Technology Commission","Refers to the proportion of individuals with basic or above basic ICT skills by skill area. Basic skills are defined as having undertaken one activity in a particular skill area. Above basic skills are defined as having undertaken two or more activities in a particular skill area.  An individuals is considered to have undertaken an activity if they have done so in the last three months, independent of the device(s) used."
37371,"HHU781SF1_HHTotalIndividual","Individuals with basic ICT skills in safety",,"%",24,"AUT","Austria","25.5883668843203",2021,"Eurostat’s Digital Skills Indicator is used to assess digital skills. Using a proxy concept, it is assumed that people who perform certain digital activities have the corresponding digital skills.#The DSI sub-dimension ‘Safety’ consists of six activities. Here, one or two activities are required for a basic skill level and three or more activities are required for a above basic skill level.#","Statistik Austria","Refers to the proportion of individuals with basic or above basic ICT skills by skill area. Basic skills are defined as having undertaken one activity in a particular skill area. Above basic skills are defined as having undertaken two or more activities in a particular skill area.  An individuals is considered to have undertaken an activity if they have done so in the last three months, independent of the device(s) used."
37371,"HHU781SF1_HHTotalIndividual","Individuals with basic ICT skills in safety",,"%",24,"AUT","Austria","25.7326291089529",2023,"Eurostat’s Digital Skills Indicator is used to assess digital skills. Using a proxy concept, it is assumed that people who perform certain digital activities have the corresponding digital skills.#The DSI sub-dimension ‘Safety’ consists of six activities. Here, one or two activities are required for a basic skill level and three or more activities are required for a above basic skill level.#","Statistik Austria","Refers to the proportion of individuals with basic or above basic ICT skills by skill area. Basic skills are defined as having undertaken one activity in a particular skill area. Above basic skills are defined as having undertaken two or more activities in a particular skill area.  An individuals is considered to have undertaken an activity if they have done so in the last three months, independent of the device(s) used."
37371,"HHU781SF1_HHTotalIndividual","Individuals with basic ICT skills in safety",,"%",27,"BRA","Brazil","18.4188780698952",2022,"","NIC.br","Refers to the proportion of individuals with basic or above basic ICT skills by skill area. Basic skills are defined as having undertaken one activity in a particular skill area. Above basic skills are defined as having undertaken two or more activities in a particular skill area.  An individuals is considered to have undertaken an activity if they have done so in the last three months, independent of the device(s) used."
37371,"HHU781SF1_HHTotalIndividual","Individuals with basic ICT skills in safety",,"%",27,"BRA","Brazil","20.5159152685268",2023,"","NIC.br","Refers to the proportion of individuals with basic or above basic ICT skills by skill area. Basic skills are defined as having undertaken one activity in a particular skill area. Above basic skills are defined as having undertaken two or more activities in a particular skill area.  An individuals is considered to have undertaken an activity if they have done so in the last three months, independent of the device(s) used."
37371,"HHU781SF1_HHTotalIndividual","Individuals with basic ICT skills in safety",,"%",27,"BRA","Brazil","19.7647833509312",2024,"","NIC.br","Refers to the proportion of individuals with basic or above basic ICT skills by skill area. Basic skills are defined as having undertaken one activity in a particular skill area. Above basic skills are defined as having undertaken two or more activities in a particular skill area.  An individuals is considered to have undertaken an activity if they have done so in the last three months, independent of the device(s) used."
37371,"HHU781SF1_HHTotalIndividual","Individuals with basic ICT skills in safety",,"%",30,"BEL","Belgium","20.6548743259149",2023,"Calculated using the Joint Research Council of the European Commission Digital Skills Indicator (DSI) 2.0","Statbel (Directorate General Statistics - Statistics Belgium)","Refers to the proportion of individuals with basic or above basic ICT skills by skill area. Basic skills are defined as having undertaken one activity in a particular skill area. Above basic skills are defined as having undertaken two or more activities in a particular skill area.  An individuals is considered to have undertaken an activity if they have done so in the last three months, independent of the device(s) used."
37371,"HHU781SF1_HHTotalIndividual","Individuals with basic ICT skills in safety",,"%",35,"BHR","Bahrain","18.003913894324814",2024,"","Telecommunications Regulatory Authority ","Refers to the proportion of individuals with basic or above basic ICT skills by skill area. Basic skills are defined as having undertaken one activity in a particular skill area. Above basic skills are defined as having undertaken two or more activities in a particular skill area.  An individuals is considered to have undertaken an activity if they have done so in the last three months, independent of the device(s) used."
37371,"HHU781SF1_HHTotalIndividual","Individuals with basic ICT skills in safety",,"%",37,"BLR","Belarus","11.1849721618134",2022,"In the last 12 months","National Statistical Committee of the Republic of Belarus (Belstat)","Refers to the proportion of individuals with basic or above basic ICT skills by skill area. Basic skills are defined as having undertaken one activity in a particular skill area. Above basic skills are defined as having undertaken two or more activities in a particular skill area.  An individuals is considered to have undertaken an activity if they have done so in the last three months, independent of the device(s) used."
37371,"HHU781SF1_HHTotalIndividual","Individuals with basic ICT skills in safety",,"%",37,"BLR","Belarus","9.1395731614054",2023,"in the last 12 months","National Statistical Committee of the Republic of Belarus (Belstat)","Refers to the proportion of individuals with basic or above basic ICT skills by skill area. Basic skills are defined as having undertaken one activity in a particular skill area. Above basic skills are defined as having undertaken two or more activities in a particular skill area.  An individuals is considered to have undertaken an activity if they have done so in the last three months, independent of the device(s) used."
37371,"HHU781SF1_HHTotalIndividual","Individuals with basic ICT skills in safety",,"%",37,"BLR","Belarus","14.1404095886856",2024,"in the last 12 months","National Statistical Committee of the Republic of Belarus (Belstat)","Refers to the proportion of individuals with basic or above basic ICT skills by skill area. Basic skills are defined as having undertaken one activity in a particular skill area. Above basic skills are defined as having undertaken two or more activities in a particular skill area.  An individuals is considered to have undertaken an activity if they have done so in the last three months, independent of the device(s) used."
37371,"HHU781SF1_HHTotalIndividual","Individuals with basic ICT skills in safety",,"%",43,"BRN","Brunei Darussalam","32.9472311104387",2022,"","Authority for Info-communications Technology Industry of Brunei Darussalam","Refers to the proportion of individuals with basic or above basic ICT skills by skill area. Basic skills are defined as having undertaken one activity in a particular skill area. Above basic skills are defined as having undertaken two or more activities in a particular skill area.  An individuals is considered to have undertaken an activity if they have done so in the last three months, independent of the device(s) used."
