"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,6,"AFG","Afghanistan","Without price control",2012,"","","Retail voice"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,6,"AFG","Afghanistan","Without price control",2018,"","","Retail voice"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,6,"AFG","Afghanistan","Without price control",2019,"","","Retail voice"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,6,"AFG","Afghanistan","Without price control",2020,"","","Retail voice"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,6,"AFG","Afghanistan","Without price control",2021,"","","Retail voice"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,6,"AFG","Afghanistan","With price control",2024,"","","Retail voice"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,7,"ZAF","South Africa","Without price control",2012,"","","Retail voice"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,7,"ZAF","South Africa","Without price control",2013,"","","Retail voice"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,7,"ZAF","South Africa","Without price control",2015,"","","Retail voice"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,7,"ZAF","South Africa","Without price control",2017,"","","Retail voice"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,7,"ZAF","South Africa","Without price control",2018,"","","Retail voice"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,7,"ZAF","South Africa","Without price control",2019,"","","Retail voice"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,7,"ZAF","South Africa","Without price control",2021,"","","Retail voice"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,7,"ZAF","South Africa","Without price control",2022,"","","Retail voice"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,7,"ZAF","South Africa","Without price control",2023,"","","Retail voice"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,7,"ZAF","South Africa","Without price control",2024,"","","Retail voice"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,8,"AGO","Angola","With price control",2012,"","","Retail voice"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,8,"AGO","Angola","With price control",2018,"","","Retail voice"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,8,"AGO","Angola","With price control",2020,"","","Retail voice"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,8,"AGO","Angola","With price control",2021,"","","Retail voice"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,8,"AGO","Angola","With price control",2023,"","","Retail voice"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,8,"AGO","Angola","With price control",2024,"","","Retail voice"
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,10,"ALB","Albania","Without price control",2013,"","","Retail voice"
